uuid,year,high_ndmi_days
135adca1-9d97-4bce-8f4d-e0d879e27af4,2022,0
136067ac-479e-4780-9720-618471582c3c,2020,30
136067ac-479e-4780-9720-618471582c3c,2022,15
136067ac-479e-4780-9720-618471582c3c,2023,30
136067ac-479e-4780-9720-618471582c3c,2024,35
13890003-ebfe-45e1-9d89-59c47be77a7b,2021,5
13890003-ebfe-45e1-9d89-59c47be77a7b,2022,0
13909610-3ef2-4f39-930d-656dbe81af7b,2024,25
13a8ab0d-4059-48f9-80d5-9af7ec59ffef,2022,10
13a8ab0d-4059-48f9-80d5-9af7ec59ffef,2023,20
13bfd397-8e00-411c-99b5-db8339111b3e,2023,40
13da74a2-3285-4db8-b5ac-d317d3575698,2020,5
13da74a2-3285-4db8-b5ac-d317d3575698,2022,0
13da74a2-3285-4db8-b5ac-d317d3575698,2024,0
141bdd65-dfcc-438f-8a0b-2e1946c6ed2c,2020,5
141bdd65-dfcc-438f-8a0b-2e1946c6ed2c,2022,15
141bdd65-dfcc-438f-8a0b-2e1946c6ed2c,2024,10
14474c38-a4cb-4c75-ac9f-8a0f724e7489,2020,10
14474c38-a4cb-4c75-ac9f-8a0f724e7489,2021,30
14474c38-a4cb-4c75-ac9f-8a0f724e7489,2023,5
14474c38-a4cb-4c75-ac9f-8a0f724e7489,2024,20
14759fe4-6361-48b8-b120-fb8fbefe9b7b,2022,10
14759fe4-6361-48b8-b120-fb8fbefe9b7b,2023,20
14759fe4-6361-48b8-b120-fb8fbefe9b7b,2024,40
147714ce-8fb3-4b62-8e6d-8ac8f5176bfa,2020,0
147714ce-8fb3-4b62-8e6d-8ac8f5176bfa,2023,25
148f8905-617c-430b-a38c-3d5259d285c5,2020,5
148f8905-617c-430b-a38c-3d5259d285c5,2022,0
14948ac1-3ef4-4b19-8363-6e0b7b51bd28,2022,40
14a32469-ba8d-43e8-8464-baeb8b556ff9,2021,25
14a32469-ba8d-43e8-8464-baeb8b556ff9,2023,45
14a32469-ba8d-43e8-8464-baeb8b556ff9,2024,20
14c90f52-513e-46af-9189-b1c670dfd7ca,2022,25
14c90f52-513e-46af-9189-b1c670dfd7ca,2023,0
14c90f52-513e-46af-9189-b1c670dfd7ca,2024,10
14cd8d2c-ded2-4ef7-bdeb-16cbb3ac2395,2020,35
14cd8d2c-ded2-4ef7-bdeb-16cbb3ac2395,2022,15
14cd8d2c-ded2-4ef7-bdeb-16cbb3ac2395,2023,35
14f24658-e042-45b2-ba56-4bd77e6b3d53,2020,15
14f24658-e042-45b2-ba56-4bd77e6b3d53,2022,10
14f24658-e042-45b2-ba56-4bd77e6b3d53,2024,15
14f7a7e8-f865-4bb6-8bdc-4cb05dfe1f8c,2020,10
14f7a7e8-f865-4bb6-8bdc-4cb05dfe1f8c,2022,15
14f7a7e8-f865-4bb6-8bdc-4cb05dfe1f8c,2024,20
152343d9-e41e-4f90-8094-95ad854b53a1,2024,30
15255acb-46a8-45a6-b74b-d71210b0dae0,2020,0
15255acb-46a8-45a6-b74b-d71210b0dae0,2021,0
153975eb-e751-4c9c-8061-2754e385e0f8,2021,25
153975eb-e751-4c9c-8061-2754e385e0f8,2022,15
153975eb-e751-4c9c-8061-2754e385e0f8,2023,45
153975eb-e751-4c9c-8061-2754e385e0f8,2024,25
159f5378-ac9e-48fd-bc94-da425b55c406,2021,20
159f5378-ac9e-48fd-bc94-da425b55c406,2024,10
15c940c9-3e4d-4206-8e1c-6ed204757311,2023,0
15f6df03-a768-4ea9-b5a6-0e9efeabe9f3,2020,25
15f6df03-a768-4ea9-b5a6-0e9efeabe9f3,2021,50
15f6df03-a768-4ea9-b5a6-0e9efeabe9f3,2022,40
15f6df03-a768-4ea9-b5a6-0e9efeabe9f3,2023,30
15f81954-ec0f-4d7d-946a-97375eb7c7b0,2020,20
15f81954-ec0f-4d7d-946a-97375eb7c7b0,2021,45
15f81954-ec0f-4d7d-946a-97375eb7c7b0,2022,30
15f81954-ec0f-4d7d-946a-97375eb7c7b0,2023,55
15f81954-ec0f-4d7d-946a-97375eb7c7b0,2024,40
16059b66-10cf-489f-b2d8-4f3b9b8769d0,2022,0
16059b66-10cf-489f-b2d8-4f3b9b8769d0,2023,5
16059b66-10cf-489f-b2d8-4f3b9b8769d0,2024,20
162b2f56-066a-4ab2-b199-57cdb6770f42,2022,0
162b2f56-066a-4ab2-b199-57cdb6770f42,2023,5
163f1492-1cab-4661-bf16-a944fe6d15e2,2024,220
1661e77d-784f-4b43-8b99-1e40d78c23b6,2020,10
1661e77d-784f-4b43-8b99-1e40d78c23b6,2023,10
16a03218-e379-4547-94b5-f3ad4d8f935e,2020,30
16a03218-e379-4547-94b5-f3ad4d8f935e,2024,5
16abcfaa-8695-4df7-9b57-b2dbc4b9910d,2022,50
16ce367c-b096-4197-b050-c842ec5ba077,2020,5
16ce367c-b096-4197-b050-c842ec5ba077,2022,45
16ce367c-b096-4197-b050-c842ec5ba077,2023,30
16e8b69a-7b12-4f3f-a590-8577fe919870,2022,30
1727df0a-30fa-4fd8-8cf0-a3e9b1174459,2021,25
1727df0a-30fa-4fd8-8cf0-a3e9b1174459,2022,20
1727df0a-30fa-4fd8-8cf0-a3e9b1174459,2023,45
1727df0a-30fa-4fd8-8cf0-a3e9b1174459,2024,15
175900c4-a1c6-49c8-8c3a-6cd7047cf2c6,2022,15
